y,P
-2,0.03182
-1.9973,0.031971
-1.9947,0.032118
-1.992,0.032265
-1.9893,0.032413
-1.9867,0.03256
-1.984,0.032708
-1.9813,0.032856
-1.9787,0.033003
-1.976,0.03316
-1.9733,0.033318
-1.9706,0.033476
-1.968,0.033634
-1.9653,0.033793
-1.9626,0.033951
-1.96,0.034107
-1.9573,0.034263
-1.9546,0.034419
-1.952,0.034573
-1.9493,0.034796
-1.9466,0.03495
-1.944,0.035104
-1.9413,0.035258
-1.9386,0.035396
-1.936,0.035571
-1.9333,0.035747
-1.9306,0.035922
-1.928,0.036098
-1.9253,0.036274
-1.9226,0.03645
-1.9199,0.036626
-1.9173,0.036802
-1.9146,0.036978
-1.9119,0.037154
-1.9093,0.03733
-1.9066,0.037505
-1.9039,0.037679
-1.9013,0.037778
-1.8986,0.037954
-1.8959,0.038132
-1.8933,0.038311
-1.8906,0.038494
-1.8879,0.038677
-1.8853,0.03886
-1.8826,0.039044
-1.8799,0.039227
-1.8773,0.039418
-1.8746,0.039611
-1.8719,0.039805
-1.8692,0.04
-1.8666,0.040196
-1.8639,0.040396
-1.8612,0.040596
-1.8586,0.040791
-1.8559,0.040984
-1.8532,0.041176
-1.8506,0.041367
-1.8479,0.041557
-1.8452,0.041746
-1.8426,0.041935
-1.8399,0.042124
-1.8372,0.042313
-1.8346,0.042503
-1.8319,0.042693
-1.8292,0.042883
-1.8266,0.043073
-1.8239,0.043277
-1.8212,0.043489
-1.8185,0.0437
-1.8159,0.043912
-1.8132,0.044123
-1.8105,0.044344
-1.8079,0.04455
-1.8052,0.044757
-1.8025,0.044963
-1.7999,0.045169
-1.7972,0.045376
-1.7945,0.045585
-1.7919,0.045797
-1.7892,0.046013
-1.7865,0.046231
-1.7839,0.04645
-1.7812,0.046668
-1.7785,0.046881
-1.7759,0.047089
-1.7732,0.047307
-1.7705,0.047532
-1.7678,0.047758
-1.7652,0.047983
-1.7625,0.048209
-1.7598,0.048435
-1.7572,0.048662
-1.7545,0.048889
-1.7518,0.049115
-1.7492,0.049354
-1.7465,0.049588
-1.7438,0.049822
-1.7412,0.050056
-1.7385,0.05029
-1.7358,0.050525
-1.7332,0.050754
-1.7305,0.050984
-1.7278,0.051215
-1.7252,0.051444
-1.7225,0.051673
-1.7198,0.051903
-1.7171,0.052134
-1.7145,0.052368
-1.7118,0.052608
-1.7091,0.052849
-1.7065,0.053091
-1.7038,0.053442
-1.7011,0.053686
-1.6985,0.053856
-1.6958,0.054117
-1.6931,0.054379
-1.6905,0.054641
-1.6878,0.054903
-1.6851,0.055165
-1.6825,0.055428
-1.6798,0.05569
-1.6771,0.055952
-1.6744,0.056329
-1.6718,0.056582
-1.6691,0.056731
-1.6664,0.056999
-1.6638,0.057267
-1.6611,0.057535
