y,U,UpUp,V,VpVp,Pxx,Pyy
-2,1.122,0.00019631,0.0046934,0.00020887,2.2865e-05,9.3972e-06
-1.9984,1.1222,0.0001967,0.0047343,0.00020967,2.2953e-05,9.4604e-06
-1.9968,1.1223,0.00019753,0.004772,0.00021038,2.3054e-05,9.4977e-06
-1.9952,1.1224,0.00019833,0.0048097,0.0002111,2.3156e-05,9.5337e-06
-1.9936,1.1225,0.0001991,0.0048474,0.00021181,2.326e-05,9.5684e-06
-1.992,1.1227,0.00019984,0.0048851,0.00021252,2.3367e-05,9.6019e-06
-1.9904,1.1228,0.00020054,0.0049228,0.00021323,2.3476e-05,9.634e-06
-1.9888,1.1229,0.00020122,0.0049605,0.00021393,2.3587e-05,9.6648e-06
-1.9872,1.123,0.00020186,0.0049982,0.00021463,2.37e-05,9.6943e-06
-1.9856,1.1232,0.00020248,0.0050359,0.00021533,2.3815e-05,9.7225e-06
-1.984,1.1233,0.00020306,0.0050736,0.00021603,2.3932e-05,9.7494e-06
-1.9824,1.1234,0.00020362,0.0051113,0.00021672,2.4051e-05,9.775e-06
-1.9808,1.1235,0.00020414,0.005149,0.00021741,2.4173e-05,9.7993e-06
-1.9792,1.1237,0.00020463,0.0051867,0.00021809,2.4296e-05,9.8223e-06
-1.9776,1.1238,0.00020523,0.0052269,0.00021912,2.4404e-05,9.8651e-06
-1.976,1.1239,0.0002059,0.005269,0.00022038,2.4501e-05,9.9234e-06
-1.9744,1.124,0.00020654,0.0053112,0.00022163,2.4598e-05,9.9815e-06
-1.9728,1.1241,0.00020715,0.0053534,0.00022287,2.4697e-05,1.0039e-05
-1.9712,1.1243,0.00020774,0.0053957,0.00022408,2.4797e-05,1.0097e-05
-1.9696,1.1244,0.00020831,0.0054381,0.00022528,2.4899e-05,1.0154e-05
-1.968,1.1245,0.00020884,0.0054805,0.00022646,2.5002e-05,1.0211e-05
-1.9664,1.1246,0.00020935,0.005523,0.00022763,2.5107e-05,1.0268e-05
-1.9648,1.1248,0.00021007,0.0055649,0.0002286,2.5208e-05,1.0325e-05
-1.9632,1.1249,0.00021085,0.0056063,0.00022952,2.5311e-05,1.038e-05
-1.9616,1.125,0.00021166,0.0056475,0.00023042,2.5416e-05,1.0431e-05
-1.96,1.1251,0.00021247,0.0056885,0.0002313,2.5525e-05,1.0478e-05
-1.9584,1.1253,0.0002133,0.0057291,0.00023217,2.5636e-05,1.0522e-05
-1.9568,1.1254,0.00021416,0.0057695,0.00023302,2.5751e-05,1.0563e-05
-1.9552,1.1255,0.00021501,0.0058096,0.00023385,2.5868e-05,1.06e-05
-1.9536,1.1256,0.00021589,0.0058494,0.00023467,2.5988e-05,1.0633e-05
-1.952,1.1258,0.00021678,0.0058889,0.00023546,2.6111e-05,1.0664e-05
-1.9504,1.1266,0.00021782,0.0059317,0.00023639,2.8598e-05,1.0662e-05
-1.9488,1.1267,0.00021869,0.005971,0.00023717,2.8732e-05,1.0687e-05
-1.9472,1.1268,0.00021953,0.0060103,0.00023794,2.8869e-05,1.071e-05
-1.9456,1.127,0.00022034,0.0060496,0.00023871,2.9008e-05,1.0733e-05
-1.944,1.1271,0.00022111,0.0060889,0.00023947,2.9149e-05,1.0754e-05
-1.9424,1.1272,0.00022185,0.0061283,0.00024023,2.9293e-05,1.0774e-05
-1.9408,1.1274,0.00022255,0.0061677,0.00024099,2.9438e-05,1.0793e-05
-1.9392,1.1275,0.00022321,0.006207,0.00024174,2.9586e-05,1.081e-05
-1.9376,1.1269,0.00022127,0.0062832,0.00024032,2.7036e-05,1.1343e-05
-1.936,1.1271,0.0002221,0.0063299,0.00024125,2.7117e-05,1.1447e-05
-1.9344,1.1272,0.00022289,0.0063767,0.00024217,2.7201e-05,1.1548e-05
-1.9328,1.1273,0.00022364,0.0064234,0.00024309,2.7287e-05,1.1648e-05
-1.9312,1.1275,0.00022437,0.0064701,0.000244,2.7376e-05,1.1746e-05
-1.9296,1.1276,0.00022506,0.0065169,0.00024491,2.7468e-05,1.1842e-05
-1.928,1.1277,0.00022571,0.0065636,0.00024582,2.7563e-05,1.1937e-05
-1.9264,1.1279,0.00022633,0.0066103,0.00024672,2.766e-05,1.203e-05
-1.9248,1.128,0.00022691,0.0066571,0.00024761,2.776e-05,1.2121e-05
-1.9232,1.1281,0.00022747,0.0067038,0.0002485,2.7862e-05,1.221e-05
-1.9216,1.1283,0.00022799,0.0067505,0.00024939,2.7967e-05,1.2298e-05
-1.92,1.1284,0.00022847,0.0067973,0.00025027,2.8075e-05,1.2384e-05
-1.9184,1.1285,0.00022892,0.006844,0.00025115,2.8186e-05,1.2468e-05
-1.9168,1.1286,0.00022934,0.0068907,0.00025203,2.8299e-05,1.255e-05
-1.9152,1.1288,0.00022972,0.0069375,0.00025289,2.8415e-05,1.2631e-05
-1.9136,1.1289,0.00023006,0.0069842,0.00025376,2.8534e-05,1.271e-05
-1.912,1.129,0.00023037,0.0070309,0.00025462,2.8655e-05,1.2787e-05
-1.9104,1.1292,0.00023065,0.0070777,0.00025548,2.8779e-05,1.2862e-05
-1.9088,1.1293,0.00023089,0.0071244,0.00025633,2.8906e-05,1.2936e-05
-1.9072,1.1294,0.00023169,0.0071699,0.00025715,2.9025e-05,1.3003e-05
-1.9056,1.1296,0.00023282,0.0072149,0.00025795,2.9138e-05,1.3073e-05
-1.904,1.1297,0.00023394,0.0072601,0.00025877,2.9252e-05,1.3144e-05
-1.9024,1.1298,0.00023505,0.0073055,0.00025958,2.9366e-05,1.3215e-05
-1.9008,1.1293,0.00023599,0.0073468,0.00026026,2.6899e-05,1.3325e-05
-1.8992,1.1294,0.00023704,0.0073927,0.00026113,2.7008e-05,1.3399e-05
-1.8976,1.1296,0.00023803,0.0074389,0.00026203,2.7117e-05,1.3474e-05
-1.896,1.1297,0.00023899,0.0074855,0.00026297,2.7227e-05,1.3552e-05
-1.8944,1.1299,0.0002399,0.0075325,0.00026393,2.7338e-05,1.3631e-05
-1.8928,1.13,0.00024076,0.0075799,0.00026493,2.7449e-05,1.3711e-05
-1.8912,1.1301,0.00024156,0.0076281,0.00026602,2.7558e-05,1.3798e-05
-1.8896,1.1303,0.00024232,0.0076766,0.00026714,2.7669e-05,1.3886e-05
-1.888,1.1304,0.00024304,0.0077252,0.00026824,2.7782e-05,1.3972e-05
-1.8864,1.1305,0.00024373,0.0077737,0.00026934,2.7898e-05,1.4056e-05
-1.8848,1.1307,0.00024438,0.0078221,0.00027044,2.8017e-05,1.4138e-05
-1.8832,1.1308,0.000245,0.0078706,0.00027152,2.8139e-05,1.4218e-05
-1.8816,1.1309,0.00024558,0.0079191,0.00027261,2.8263e-05,1.4296e-05
-1.88,1.1311,0.00024613,0.0079676,0.00027368,2.8391e-05,1.4373e-05
-1.8784,1.1312,0.00024664,0.008016,0.00027475,2.8521e-05,1.4447e-05
-1.8768,1.1313,0.0002458,0.0080705,0.00027667,2.866e-05,1.4548e-05
-1.8752,1.1315,0.00024637,0.008122,0.00027803,2.877e-05,1.4654e-05
-1.8735,1.1316,0.00024705,0.0081736,0.00027937,2.8877e-05,1.4764e-05
-1.8719,1.1317,0.00024789,0.0082252,0.00028067,2.8979e-05,1.4877e-05
-1.8703,1.1319,0.00024887,0.0082768,0.00028195,2.9078e-05,1.4992e-05
-1.8687,1.132,0.00024987,0.0083288,0.00028325,2.9175e-05,1.5111e-05
-1.8671,1.1322,0.00025085,0.0083814,0.0002846,2.9271e-05,1.5235e-05
-1.8655,1.1323,0.00025181,0.0084345,0.000286,2.9365e-05,1.5363e-05
-1.8639,1.1324,0.00025277,0.0084882,0.00028744,2.9457e-05,1.5495e-05
-1.8623,1.1326,0.00025369,0.008542,0.00028889,2.9552e-05,1.5626e-05
-1.8607,1.1327,0.00025457,0.0085948,0.00029023,2.9656e-05,1.5746e-05
-1.8591,1.1329,0.00025548,0.0086462,0.0002914,2.9771e-05,1.585e-05
-1.8575,1.133,0.00025638,0.0086973,0.00029253,2.989e-05,1.595e-05
-1.8559,1.1332,0.00025726,0.0087481,0.00029362,3.0013e-05,1.6045e-05
-1.8543,1.1333,0.00025813,0.0087986,0.00029466,3.014e-05,1.6136e-05
-1.8527,1.1334,0.00025899,0.0088488,0.00029567,3.0271e-05,1.6223e-05
-1.8511,1.1336,0.00025983,0.0088987,0.00029663,3.0406e-05,1.6306e-05
-1.8495,1.1337,0.00026066,0.0089484,0.00029756,3.0545e-05,1.6384e-05
-1.8479,1.1339,0.00026147,0.0089977,0.00029844,3.0688e-05,1.6458e-05
-1.8463,1.134,0.00026226,0.0090468,0.00029929,3.0836e-05,1.6528e-05
-1.8447,1.1342,0.00026302,0.0090959,0.00030013,3.0986e-05,1.6596e-05
-1.8431,1.1343,0.00026374,0.009145,0.00030097,3.1139e-05,1.6662e-05
-1.8415,1.1344,0.00026442,0.0091941,0.0003018,3.1295e-05,1.6727e-05
-1.8399,1.1346,0.00026507,0.0092433,0.00030263,3.1454e-05,1.6789e-05
-1.8383,1.1347,0.00026567,0.0092925,0.00030346,3.1615e-05,1.685e-05
-1.8367,1.1349,0.00026624,0.0093416,0.00030428,3.178e-05,1.6909e-05
-1.8351,1.135,0.00026677,0.0093909,0.0003051,3.1947e-05,1.6967e-05
-1.8335,1.1352,0.00026726,0.0094401,0.00030592,3.2118e-05,1.7022e-05
-1.8319,1.1353,0.00026771,0.0094893,0.00030673,3.2291e-05,1.7076e-05
-1.8303,1.1355,0.00026813,0.0095386,0.00030754,3.2467e-05,1.7128e-05
-1.8287,1.1356,0.0002685,0.0095879,0.00030835,3.2647e-05,1.7178e-05
-1.8271,1.1357,0.00026884,0.0096372,0.00030915,3.2829e-05,1.7227e-05
-1.8255,1.1359,0.0002692,0.0096873,0.00031,3.3006e-05,1.7283e-05
-1.8239,1.136,0.00027011,0.0097441,0.00031138,3.3115e-05,1.743e-05
-1.8223,1.1362,0.00027099,0.0098009,0.00031275,3.3227e-05,1.7574e-05
-1.8207,1.1363,0.00027181,0.0098577,0.00031411,3.3343e-05,1.7716e-05
-1.8191,1.1365,0.0002726,0.0099145,0.00031547,3.3462e-05,1.7856e-05
-1.8175,1.1366,0.00027334,0.0099713,0.00031682,3.3585e-05,1.7993e-05
-1.8159,1.1368,0.00027404,0.010028,0.00031816,3.3712e-05,1.8127e-05
-1.8143,1.1369,0.00027469,0.010085,0.0003195,3.3842e-05,1.8259e-05
-1.8127,1.1371,0.00027531,0.010142,0.00032083,3.3976e-05,1.8389e-05
-1.8111,1.1372,0.00027666,0.010204,0.00032355,3.4063e-05,1.8583e-05
-1.8095,1.1374,0.00027766,0.010259,0.00032501,3.4214e-05,1.8681e-05
-1.8079,1.1375,0.00027862,0.010313,0.00032647,3.4368e-05,1.8777e-05
-1.8063,1.1377,0.00027954,0.010368,0.00032793,3.4526e-05,1.887e-05
-1.8047,1.1378,0.00028041,0.010422,0.00032939,3.4687e-05,1.8962e-05
-1.8031,1.138,0.00028125,0.010477,0.00033085,3.4851e-05,1.9051e-05
-1.8015,1.1381,0.00028204,0.010531,0.00033231,3.5018e-05,1.9138e-05
-1.7999,1.1382,0.00028279,0.010586,0.00033376,3.5189e-05,1.9224e-05
-1.7983,1.1384,0.0002835,0.01064,0.00033522,3.5364e-05,1.9307e-05
