x,y
-0.927680798,0.0543071161
-0.9077306733,0.0617977528
-0.8628428928,0.0655430712
-0.8229426434,0.0692883895
-0.7780548628,0.0730337079
-0.753117207,0.0767790262
-0.7182044888,0.0767790262
-0.6932668329,0.0805243446
-0.6633416459,0.0805243446
-0.63840399,0.0730337079
-0.6034912718,0.0468164794
-0.5885286783,0.0280898876
-0.5685785536,0.0093632959
-0.5486284289,-0.0093632959
-0.5286783042,-0.0243445693
-0.5037406484,-0.0355805243
-0.4738154613,-0.0505617978
-0.4389027431,-0.0580524345
-0.4139650873,-0.0655430712
-0.3890274314,-0.0730337079
-0.3591022444,-0.0805243446
-0.3241895262,-0.0842696629
-0.2992518703,-0.0842696629
-0.2593516209,-0.0805243446
-0.2394014963,-0.0767790262
-0.1945137157,-0.0730337079
-0.174563591,-0.0692883895
-0.1546134663,-0.0655430712
-0.1346633416,-0.0580524345
-0.1047381546,-0.043071161
-0.0748129676,-0.0355805243
-0.0548628429,-0.0280898876
-0.0199501247,-0.0056179775
0.0199501247,0.0093632959
0.0498753117,0.0205992509
0.0798004988,0.0355805243
0.1197007481,0.0505617978
0.1496259352,0.0617977528
0.1795511222,0.0730337079
0.2244389027,0.0805243446
0.2693266833,0.0880149813
0.3092269327,0.0917602996
0.3441396509,0.0917602996
0.3790523691,0.0917602996
0.4139650873,0.0842696629
0.463840399,0.0730337079
0.493765586,0.0580524345
0.5187032419,0.0393258427
0.5536159601,0.0168539326
0.5735660848,0.0018726592
0.5935162095,-0.0205992509
0.608478803,-0.0393258427
0.6284289277,-0.0543071161
0.6633416459,-0.0655430712
0.7082294264,-0.0617977528
0.7581047382,-0.0580524345
0.7930174564,-0.0543071161
0.8379052369,-0.0505617978
0.8827930175,-0.0468164794
0.9177057357,-0.043071161
0.9526184539,-0.043071161
