y,P
-2,0.99505
-1.996,0.99504
-1.992,0.99503
-1.988,0.99501
-1.984,0.995
-1.98,0.99499
-1.976,0.99498
-1.972,0.99497
-1.968,0.99495
-1.964,0.99494
-1.96,0.99493
-1.956,0.99492
-1.952,0.99491
-1.9479,0.99489
-1.9439,0.99488
-1.9399,0.99487
-1.9359,0.99486
-1.9319,0.99484
-1.9279,0.99483
-1.9239,0.99482
-1.9199,0.99481
-1.9159,0.99479
-1.9119,0.99478
-1.9079,0.99477
-1.9039,0.99476
-1.8999,0.99474
-1.8959,0.99473
-1.8919,0.99472
-1.8879,0.9947
-1.8839,0.99469
-1.8799,0.99468
-1.8759,0.99467
-1.8719,0.99465
-1.8679,0.99464
-1.8639,0.99463
-1.8599,0.99462
-1.8559,0.9946
-1.8519,0.99459
-1.8478,0.99457
-1.8438,0.99456
-1.8398,0.99455
-1.8358,0.99454
-1.8318,0.99452
-1.8278,0.99451
-1.8238,0.99449
-1.8198,0.99448
-1.8158,0.99447
-1.8118,0.99445
-1.8078,0.99444
-1.8038,0.99443
-1.7998,0.99441
-1.7958,0.9944
-1.7918,0.99438
-1.7878,0.99437
-1.7838,0.99436
-1.7798,0.99434
-1.7758,0.99433
-1.7718,0.99431
-1.7678,0.9943
-1.7638,0.99429
-1.7598,0.99427
-1.7558,0.99426
-1.7518,0.99424
-1.7477,0.99423
-1.7437,0.99421
-1.7397,0.9942
-1.7357,0.99418
-1.7317,0.99417
-1.7277,0.99416
-1.7237,0.99414
-1.7197,0.99413
-1.7157,0.99411
-1.7117,0.9941
-1.7077,0.99408
-1.7037,0.99407
-1.6997,0.99405
-1.6957,0.99404
-1.6917,0.99402
-1.6877,0.99401
-1.6837,0.99399
-1.6797,0.99398
-1.6757,0.99396
-1.6717,0.99395
-1.6677,0.99393
-1.6637,0.99392
-1.6597,0.9939
-1.6557,0.99389
-1.6517,0.99387
-1.6476,0.99385
-1.6436,0.99384
-1.6396,0.99382
-1.6356,0.99381
-1.6316,0.99379
-1.6276,0.99377
-1.6236,0.99376
-1.6196,0.99374
-1.6156,0.99373
-1.6116,0.99371
-1.6076,0.99369
-1.6036,0.99368
-1.5996,0.99366
-1.5956,0.99365
-1.5916,0.99363
-1.5876,0.99361
-1.5836,0.9936
-1.5796,0.99358
-1.5756,0.99356
-1.5716,0.99355
-1.5676,0.99353
-1.5636,0.99351
-1.5596,0.9935
-1.5556,0.99348
-1.5516,0.99346
-1.5475,0.99344
-1.5435,0.99343
-1.5395,0.99341
-1.5355,0.99339
-1.5315,0.99338
-1.5275,0.99336
-1.5235,0.99334
-1.5195,0.99332
-1.5155,0.9933
-1.5115,0.99329
-1.5075,0.99327
-1.5035,0.99325
-1.4995,0.99323
-1.4955,0.99322
-1.4915,0.9932
-1.4875,0.99318
-1.4835,0.99316
-1.4795,0.99314
-1.4755,0.99313
-1.4715,0.99311
-1.4675,0.99309
-1.4635,0.99307
-1.4595,0.99305
-1.4555,0.99303
-1.4515,0.99302
-1.4474,0.993
-1.4434,0.99298
-1.4394,0.99296
-1.4354,0.99294
-1.4314,0.99292
-1.4274,0.9929
-1.4234,0.99288
-1.4194,0.99286
-1.4154,0.99284
-1.4114,0.99282
-1.4074,0.9928
-1.4034,0.99278
-1.3994,0.99277
-1.3954,0.99275
-1.3914,0.99273
-1.3874,0.99271
-1.3834,0.99269
-1.3794,0.99267
-1.3754,0.99265
-1.3714,0.99263
-1.3674,0.99261
-1.3634,0.99259
-1.3594,0.99257
-1.3554,0.99254
-1.3514,0.99252
-1.3473,0.9925
-1.3433,0.99248
-1.3393,0.99246
-1.3353,0.99244
-1.3313,0.99242
-1.3273,0.9924
-1.3233,0.99238
-1.3193,0.99236
-1.3153,0.99234
-1.3113,0.99231
-1.3073,0.99229
-1.3033,0.99227
-1.2993,0.99225
-1.2953,0.99223
-1.2913,0.99221
-1.2873,0.99218
-1.2833,0.99216
-1.2793,0.99214
-1.2753,0.99212
-1.2713,0.99209
-1.2673,0.99207
-1.2633,0.99205
-1.2593,0.99203
-1.2553,0.992
-1.2513,0.99198
-1.2472,0.99196
-1.2432,0.99193
-1.2392,0.99191
-1.2352,0.99189
-1.2312,0.99186
-1.2272,0.99184
-1.2232,0.99182
-1.2192,0.99179
-1.2152,0.99177
-1.2112,0.99174
-1.2072,0.99172
-1.2032,0.9917
-1.1992,0.99167
-1.1952,0.99165
-1.1912,0.99162
-1.1872,0.9916
-1.1832,0.99157
-1.1792,0.99155
-1.1752,0.99152
-1.1712,0.9915
-1.1672,0.99147
-1.1632,0.99145
-1.1592,0.99142
-1.1552,0.99139
-1.1512,0.99137
-1.1471,0.99134
-1.1431,0.99132
-1.1391,0.99129
-1.1351,0.99126
-1.1311,0.99124
-1.1271,0.99121
-1.1231,0.99118
-1.1191,0.99115
-1.1151,0.99113
-1.1111,0.9911
-1.1071,0.99107
-1.1031,0.99104
-1.0991,0.99102
-1.0951,0.99099
-1.0911,0.99096
-1.0871,0.99093
-1.0831,0.9909
-1.0791,0.99087
-1.0751,0.99084
-1.0711,0.99081
-1.0671,0.99078
-1.0631,0.99076
-1.0591,0.99073
-1.0551,0.9907
-1.0511,0.99067
-1.047,0.99063
-1.043,0.9906
-1.039,0.99057
-1.035,0.99054
-1.031,0.99051
-1.027,0.99048
-1.023,0.99045
-1.019,0.99041
-1.015,0.99038
-1.011,0.99035
-1.007,0.99032
-1.003,0.99028
-0.999,0.99025
-0.99499,0.99022
-0.99099,0.99018
-0.98699,0.99015
-0.98298,0.99011
-0.97898,0.99008
-0.97497,0.99004
-0.97097,0.99001
