# "Experimental and numerical studies of the flow over a circular cylinder at Reynolds number 3900", https://doi.org/10.1063/1.2957018
y-normalised,U-normalised
-0.9226932668,0.1741573034
-0.897755611,0.1853932584
-0.8628428928,0.1966292135
-0.8229426434,0.2116104869
-0.7581047382,0.2378277154
-0.7032418953,0.2565543071
-0.6733167082,0.2790262172
-0.6483790524,0.2902621723
-0.6134663342,0.297752809
-0.578553616,0.2902621723
-0.5486284289,0.2752808989
-0.5236907731,0.2490636704
-0.5037406484,0.2378277154
-0.4788029925,0.2116104869
-0.463840399,0.1966292135
-0.4438902743,0.1779026217
-0.4139650873,0.1479400749
-0.3840399002,0.1217228464
-0.3640897756,0.1104868914
-0.3291770574,0.0880149813
-0.2992518703,0.0730337079
-0.2593516209,0.0505617978
-0.2244389027,0.0355805243
-0.1945137157,0.0280898876
-0.1596009975,0.0168539326
-0.1296758105,0.0093632959
-0.0847880299,0.0018726592
-0.0448877805,0.0018726592
0.0049875312,-0.0056179775
0.0399002494,-0.0131086142
0.0947630923,-0.0168539326
0.1346633416,-0.0205992509
0.1695760599,-0.031835206
0.2044887781,-0.0468164794
0.2443890274,-0.0617977528
0.2743142145,-0.0692883895
0.3142144638,-0.095505618
0.3541147132,-0.1179775281
0.3840399002,-0.1367041199
0.4089775561,-0.1479400749
0.433915212,-0.170411985
0.4588528678,-0.1891385768
0.4837905237,-0.2078651685
0.5137157107,-0.234082397
0.5286783042,-0.2490636704
0.5635910224,-0.2715355805
0.5885286783,-0.2865168539
0.6134663342,-0.2865168539
0.6733167082,-0.2677902622
0.7132169576,-0.2528089888
0.7481296758,-0.234082397
0.7780548628,-0.2153558052
0.8229426434,-0.1966292135
0.8428927681,-0.1891385768
0.8827930175,-0.1779026217
0.927680798,-0.1666666667
0.9625935162,-0.1554307116
