y,U,UpUp,V,VpVp,Pxx,Pyy
-2,1.0759,0.00075692,0.047402,0.00057659,3.6433e-05,5.0725e-05
-1.9984,1.0759,0.00076011,0.047486,0.00057926,3.6617e-05,5.1005e-05
-1.9968,1.076,0.00076332,0.04757,0.00058191,3.6802e-05,5.1284e-05
-1.9952,1.076,0.00076652,0.047654,0.00058455,3.6988e-05,5.1564e-05
-1.9936,1.076,0.00076972,0.047738,0.00058718,3.7173e-05,5.1844e-05
-1.992,1.076,0.00077292,0.047822,0.0005898,3.736e-05,5.2124e-05
-1.9904,1.076,0.00077612,0.047906,0.0005924,3.7546e-05,5.2405e-05
-1.9888,1.0761,0.00077932,0.04799,0.00059498,3.7734e-05,5.2685e-05
-1.9872,1.0761,0.00078251,0.048074,0.00059755,3.7921e-05,5.2966e-05
-1.9856,1.0761,0.00078571,0.048158,0.00060011,3.8109e-05,5.3247e-05
-1.984,1.0761,0.00078891,0.048242,0.00060265,3.8298e-05,5.3528e-05
-1.9824,1.0755,0.00079167,0.048298,0.00060495,3.4175e-05,5.3834e-05
-1.9808,1.0755,0.00079516,0.048384,0.00060817,3.4392e-05,5.4134e-05
-1.9792,1.0755,0.00079865,0.04847,0.00061137,3.4609e-05,5.4434e-05
-1.9776,1.0755,0.00080213,0.048557,0.00061456,3.4827e-05,5.4735e-05
-1.976,1.0756,0.00080562,0.048643,0.00061773,3.5045e-05,5.5036e-05
-1.9744,1.0756,0.00080911,0.04873,0.00062088,3.5264e-05,5.5337e-05
-1.9728,1.0756,0.00081259,0.048816,0.00062403,3.5483e-05,5.5638e-05
-1.9712,1.0756,0.00081607,0.048903,0.00062715,3.5702e-05,5.594e-05
-1.9696,1.0756,0.00081956,0.048989,0.00063026,3.5922e-05,5.6242e-05
-1.968,1.0756,0.00082304,0.049075,0.00063336,3.6142e-05,5.6544e-05
-1.9664,1.0757,0.00082652,0.049162,0.00063644,3.6362e-05,5.6847e-05
-1.9648,1.0757,0.00083004,0.049249,0.0006395,3.6576e-05,5.7156e-05
-1.9632,1.0757,0.00083365,0.049337,0.00064253,3.6773e-05,5.7479e-05
-1.9616,1.0757,0.00083724,0.049424,0.00064555,3.6971e-05,5.7802e-05
-1.96,1.0757,0.00084084,0.049512,0.00064855,3.7169e-05,5.8126e-05
-1.9584,1.0758,0.00084444,0.0496,0.00065153,3.7367e-05,5.845e-05
-1.9568,1.0758,0.00084804,0.049688,0.0006545,3.7567e-05,5.8774e-05
-1.9552,1.0758,0.00085164,0.049776,0.00065745,3.7766e-05,5.9098e-05
-1.9536,1.0758,0.00085523,0.049864,0.00066039,3.7966e-05,5.9422e-05
-1.952,1.0758,0.00085883,0.049952,0.00066331,3.8167e-05,5.9747e-05
-1.9504,1.0759,0.00086242,0.050039,0.00066622,3.8368e-05,6.0071e-05
-1.9488,1.0759,0.00086602,0.050127,0.00066911,3.8569e-05,6.0396e-05
-1.9472,1.0759,0.00086962,0.050215,0.00067199,3.8771e-05,6.0722e-05
-1.9456,1.0759,0.00087321,0.050303,0.00067485,3.8973e-05,6.1047e-05
-1.944,1.0759,0.000877,0.050393,0.00067828,3.921e-05,6.1411e-05
-1.9424,1.0759,0.0008809,0.050484,0.00068186,3.9452e-05,6.1762e-05
-1.9408,1.076,0.0008848,0.050575,0.00068542,3.9694e-05,6.2114e-05
-1.9392,1.076,0.0008887,0.050666,0.00068897,3.9937e-05,6.2466e-05
-1.9376,1.076,0.00089259,0.050756,0.0006925,4.018e-05,6.2819e-05
-1.936,1.076,0.00089649,0.050847,0.00069601,4.0423e-05,6.3171e-05
-1.9344,1.076,0.00090039,0.050938,0.00069951,4.0667e-05,6.3524e-05
-1.9328,1.076,0.00090429,0.051029,0.00070299,4.0911e-05,6.3878e-05
-1.9312,1.0761,0.00090818,0.05112,0.00070645,4.1155e-05,6.4231e-05
-1.9296,1.0761,0.00091208,0.051211,0.0007099,4.14e-05,6.4585e-05
-1.928,1.0761,0.00091597,0.051302,0.00071333,4.1646e-05,6.4939e-05
-1.9264,1.0761,0.00091987,0.051392,0.00071674,4.1891e-05,6.5294e-05
-1.9248,1.0761,0.00092376,0.051483,0.00072014,4.2138e-05,6.5649e-05
