x,y
0.0010261,-0.14107
0.0013465,-0.30929
0.0016922,-0.45214
0.0020585,-0.5675
0.0024414,-0.65786
0.0028377,-0.73036
0.003245,-0.78929
0.003661,-0.83786
0.004085,-0.87786
0.0045161,-0.91036
0.0049534,-0.93643
0.0053962,-0.9575
0.0058438,-0.97393
0.0062958,-0.98679
0.0067517,-0.99643
0.007211,-1.0036
0.0076735,-1.0086
0.0081388,-1.0125
0.0086067,-1.015
0.0090768,-1.0161
0.0095493,-1.0157
0.010024,-1.0157
0.0105,-1.0146
0.010978,-1.0118
0.011457,-1.0086
0.011938,-1.0046
0.01242,-1.0004
0.012904,-0.99571
0.013391,-0.99071
0.01388,-0.98536
0.01437,-0.98
0.014861,-0.97464
0.015352,-0.96893
0.015844,-0.96357
0.016336,-0.95821
0.016828,-0.95286
0.01732,-0.9475
0.017811,-0.94179
0.018302,-0.93643
0.018792,-0.93107
0.019281,-0.92607
0.019769,-0.92071
0.020256,-0.91536
0.020742,-0.91
0.021227,-0.90464
0.02171,-0.89929
0.022192,-0.89393
0.022673,-0.88857
0.023151,-0.88286
0.023628,-0.8775
0.024104,-0.87143
0.024577,-0.86536
0.025048,-0.85821
0.025517,-0.84929
0.025984,-0.83714
0.026742,-0.82679
0.027512,-0.82107
0.028297,-0.81607
0.029096,-0.81107
0.029909,-0.80571
0.030737,-0.79964
0.031581,-0.79321
0.032441,-0.78607
0.033317,-0.77857
0.03421,-0.77071
0.03512,-0.7625
0.036048,-0.75393
0.036995,-0.74536
0.037959,-0.73643
0.038942,-0.7275
0.039945,-0.71857
0.040966,-0.71
0.042007,-0.70143
0.043067,-0.69286
0.044147,-0.685
0.045246,-0.6775
0.046363,-0.67036
0.047498,-0.66357
0.048651,-0.65679
0.049822,-0.65
0.051012,-0.64321
0.052219,-0.63679
0.053444,-0.63036
0.054687,-0.62393
0.055947,-0.6175
0.057226,-0.61107
0.058522,-0.605
0.059836,-0.59893
0.061167,-0.59286
0.062516,-0.58679
0.063883,-0.58107
0.065267,-0.575
0.066668,-0.56929
0.068087,-0.56357
0.069523,-0.55786
0.070976,-0.55214
0.072447,-0.54643
0.073935,-0.54107
0.07544,-0.53571
0.076962,-0.53036
0.078501,-0.525
0.080057,-0.51964
0.08163,-0.51464
0.08322,-0.50964
0.084826,-0.50464
0.086449,-0.49964
0.088089,-0.495
0.089745,-0.49
0.091418,-0.48536
0.093107,-0.48071
0.094812,-0.47607
0.096534,-0.47179
0.098272,-0.46714
0.10003,-0.46286
0.1018,-0.45857
0.10358,-0.45429
0.10538,-0.45
0.1072,-0.44571
0.10904,-0.44179
0.11088,-0.43786
0.11275,-0.43357
0.11463,-0.43
0.11652,-0.42607
0.11843,-0.42214
0.12036,-0.41857
0.1223,-0.41464
0.12426,-0.41107
0.12623,-0.4075
0.12821,-0.40393
0.13021,-0.40036
0.13223,-0.39714
0.13426,-0.39357
0.13631,-0.39036
0.13836,-0.38714
0.14044,-0.38357
0.14253,-0.38036
0.14463,-0.3775
0.14674,-0.37429
0.14887,-0.37107
0.15102,-0.36821
0.15318,-0.36536
0.15535,-0.36214
0.15753,-0.35929
0.15973,-0.35643
0.16194,-0.35357
0.16417,-0.35107
0.16641,-0.34821
0.16866,-0.34536
0.17093,-0.34286
0.1732,-0.34036
0.17549,-0.3375
0.1778,-0.335
0.18012,-0.3325
0.18244,-0.33
0.18479,-0.32786
0.18714,-0.32536
0.18951,-0.32321
0.19189,-0.32071
0.19428,-0.31857
0.19668,-0.31607
0.1991,-0.31393
0.20152,-0.31179
