x,y
0.99843,-0.0024125
0.99686,-0.003863
0.99529,-0.0040087
0.99373,-0.00086006
0.99215,-0.00050292
0.0010701,-0.11071
0.001505,-0.33571
0.0019856,-0.51071
0.0025119,-0.66071
0.0030502,-0.74286
0.0036073,-0.81429
0.0041831,-0.87143
0.0047775,-0.91429
0.0053747,-0.94643
0.0059836,-0.96786
0.0066046,-0.98571
0.0072357,-0.99643
0.0078658,-1.0071
0.008503,-1.0107
0.0091482,-1.0143
0.0098016,-1.0143
0.010453,-1.0107
0.01111,-1.0071
0.011774,-1.0036
0.012442,-1.0
0.01311,-0.99286
0.013783,-0.98571
0.014462,-0.97857
0.015146,-0.97143
0.015826,-0.96429
0.016508,-0.95714
0.017193,-0.95
0.017881,-0.94286
0.018562,-0.93571
0.019244,-0.92857
0.019927,-0.92143
0.02061,-0.91429
0.021287,-0.90714
0.021963,-0.9
0.022639,-0.89286
0.023314,-0.88571
0.023981,-0.87857
0.024647,-0.86786
0.025311,-0.85357
0.025974,-0.80714
0.026957,-0.83214
0.027939,-0.825
0.02892,-0.81786
0.029899,-0.81429
0.030975,-0.80357
0.032049,-0.79643
0.033124,-0.78571
0.0342,-0.775
0.03538,-0.76429
0.036563,-0.75357
0.037746,-0.74286
0.038933,-0.73214
0.040228,-0.72143
0.041528,-0.71071
0.04283,-0.7
0.044137,-0.68929
0.045553,-0.68214
0.04697,-0.67143
0.04839,-0.66429
0.049812,-0.65714
0.051341,-0.64643
0.052871,-0.63929
0.054403,-0.63214
0.055937,-0.62143
0.057577,-0.61429
0.059219,-0.60714
0.060862,-0.6
0.062507,-0.59286
0.064257,-0.58571
0.066008,-0.575
0.06776,-0.56786
0.069514,-0.56071
0.071372,-0.55357
0.073231,-0.54643
0.075091,-0.53929
0.076953,-0.53571
0.078917,-0.52857
0.080883,-0.52143
0.082849,-0.51429
0.084817,-0.50714
0.086886,-0.50357
0.088956,-0.49643
0.091026,-0.48929
0.093098,-0.48571
0.095269,-0.47857
0.097444,-0.47143
0.099615,-0.46786
0.10179,-0.46071
0.10406,-0.45714
0.10633,-0.45
0.1086,-0.44643
0.11087,-0.43929
0.11325,-0.43571
0.11561,-0.43214
0.11798,-0.425
0.12036,-0.42143
0.12281,-0.41786
0.12527,-0.41071
0.12774,-0.40714
0.13021,-0.40357
0.13277,-0.4
0.13532,-0.39286
0.13788,-0.38929
0.14043,-0.38571
0.14308,-0.38214
0.14572,-0.37857
0.14837,-0.375
0.15101,-0.37143
0.15374,-0.36786
0.15648,-0.36429
0.1592,-0.36071
0.16194,-0.35714
0.16475,-0.35357
0.16756,-0.35
0.17038,-0.34643
0.1732,-0.34286
0.17609,-0.33929
0.17898,-0.33571
0.18188,-0.33214
0.18478,-0.32857
0.18775,-0.325
0.19073,-0.325
0.1937,-0.32143
0.19667,-0.31786
0.19972,-0.31429
0.20277,-0.31071
0.20582,-0.31071
0.20886,-0.30714
0.21198,-0.30357
0.2151,-0.3
0.21822,-0.3
0.22135,-0.29643
0.22453,-0.29286
0.22772,-0.29286
0.23092,-0.28929
0.23411,-0.28571
0.23736,-0.28571
0.24062,-0.28214
0.24387,-0.27857
0.24713,-0.27857
0.25044,-0.275
0.25377,-0.275
0.25708,-0.27143
0.2604,-0.26983
0.26378,-0.26786
0.26716,-0.26429
0.27054,-0.26429
0.27391,-0.26071
0.27735,-0.26071
0.28079,-0.25714
0.28422,-0.25714
0.28765,-0.25357
0.29115,-0.25357
0.29463,-0.25
0.29813,-0.25
0.30162,-0.24643
0.30515,-0.24643
0.3087,-0.24286
0.31224,-0.24286
0.31578,-0.23929
0.31937,-0.23929
0.32296,-0.23571
0.32655,-0.23571
0.33014,-0.23571
0.33377,-0.23214
0.33741,-0.23214
0.34104,-0.22857
0.34468,-0.22857
0.34835,-0.225
0.35203,-0.225
0.3557,-0.225
0.35938,-0.22143
0.3631,-0.22143
0.36681,-0.21786
0.37053,-0.21786
0.37424,-0.21786
0.378,-0.21429
0.38176,-0.21429
0.3855,-0.21429
0.38926,-0.21071
0.39305,-0.21071
0.39683,-0.20714
0.40062,-0.20714
0.40441,-0.20714
0.40822,-0.20357
0.41204,-0.20357
0.41586,-0.20357
0.41967,-0.2
0.42352,-0.2
0.42737,-0.2
0.4312,-0.19643
0.43505,-0.19643
0.43892,-0.19643
0.4428,-0.19286
0.44666,-0.19286
0.45053,-0.19286
0.45443,-0.19286
0.45832,-0.18929
0.4622,-0.18929
0.4661,-0.18929
0.47001,-0.18571
0.47392,-0.18571
0.47784,-0.18571
0.48174,-0.18571
0.48567,-0.18214
0.4896,-0.18214
0.49352,-0.18214
0.49745,-0.17857
0.50138,-0.17857
0.50533,-0.17857
0.50927,-0.17857
0.51321,-0.175
0.51716,-0.175
0.5211,-0.175
0.52505,-0.175
0.529,-0.175
0.53296,-0.17143
0.53692,-0.17143
0.54088,-0.17143
0.54482,-0.17143
0.54879,-0.16786
